Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,3+,Graduate,No,21006,8490.44,211.0,120,0.0,Semiurban,N
LP100001,Female,No,2,Graduate,Yes,9667,4436.46,174.0,120,1.0,Semiurban,Y
LP100002,Male,No,2,Graduate,No,6690,9187.47,413.2,300,1.0,Semiurban,N
LP100003,Male,No,2,Not Graduate,Yes,6075,4403.74,215.1,120,1.0,Semiurban,Y
LP100004,Male,No,3+,Graduate,Yes,9227,5487.8,192.7,240,1.0,Urban,Y
LP100005,Female,Yes,1,Not Graduate,Yes,16878,7962.86,432.5,240,1.0,Urban,N
LP100006,Male,No,3+,Not Graduate,No,3297,5830.68,430.8,120,0.0,Urban,N
LP100007,Male,Yes,1,Graduate,Yes,3631,9602.18,210.4,180,1.0,Rural,Y
LP100008,Male,Yes,3+,Graduate,No,16400,6603.36,424.6,240,1.0,Rural,N
LP100009,Female,Yes,3+,Not Graduate,Yes,24384,5227.09,432.9,180,1.0,Semiurban,N
LP100010,Male,Yes,1,Not Graduate,No,18699,235.92,240.8,300,1.0,Semiurban,Y
LP100011,Male,Yes,2,Graduate,Yes,12832,4137.33,79.9,240,1.0,Urban,Y
LP100012,Male,No,1,Graduate,No,8166,2992.48,50.7,180,1.0,Semiurban,Y
LP100013,Male,No,0,Graduate,No,18026,7481.06,285.5,120,1.0,Rural,Y
LP100014,Female,No,0,Not Graduate,No,13979,2082.78,204.8,300,1.0,Semiurban,Y
LP100015,Male,No,1,Not Graduate,No,2910,2052.2,498.7,360,1.0,Urban,N
LP100016,Female,Yes,3+,Not Graduate,No,14165,1895.19,397.6,360,1.0,Semiurban,N
LP100017,Female,No,0,Not Graduate,No,2034,1256.16,392.6,120,1.0,Rural,N
LP100018,Female,Yes,0,Not Graduate,Yes,4864,3110.07,479.9,300,1.0,Urban,N
LP100019,Male,No,3+,Graduate,No,18916,8859.22,449.5,300,1.0,Semiurban,N
LP100020,Female,Yes,3+,Graduate,No,4842,7749.28,193.2,300,1.0,Rural,Y
LP100021,Male,Yes,2,Not Graduate,No,23969,7352.51,124.7,300,1.0,Urban,Y
LP100022,Female,No,3+,Not Graduate,Yes,14965,7973.37,385.7,360,1.0,Urban,N
LP100023,Female,Yes,1,Graduate,Yes,6000,2694.18,220.2,180,1.0,Rural,Y
LP100024,Female,Yes,1,Graduate,Yes,2672,8874.42,262.9,300,1.0,Semiurban,N
LP100025,Female,No,2,Graduate,No,22401,1373.03,333.7,180,1.0,Semiurban,N
LP100026,Female,Yes,0,Graduate,Yes,9507,3363.46,458.5,300,0.0,Semiurban,N
LP100027,Female,No,0,Not Graduate,Yes,3141,5867.48,238.6,240,1.0,Urban,Y
LP100028,Female,No,3+,Graduate,No,18355,1029.05,402.5,240,1.0,Urban,N
LP100029,Female,No,1,Not Graduate,No,20824,7301.3,170.8,240,1.0,Semiurban,Y
LP100030,Male,Yes,0,Graduate,Yes,10238,3872.46,364.1,300,0.0,Urban,N
LP100031,Male,Yes,2,Graduate,No,6226,7844.06,50.7,180,1.0,Urban,Y
LP100032,Female,Yes,2,Graduate,No,13289,4928.96,442.2,360,1.0,Rural,N
LP100033,Female,No,1,Not Graduate,No,12517,1808.75,63.7,120,1.0,Semiurban,Y
LP100034,Female,Yes,2,Not Graduate,No,21607,7347.62,370.7,360,1.0,Semiurban,N
LP100035,Male,No,2,Graduate,Yes,1863,2521.44,70.8,300,1.0,Semiurban,N
LP100036,Female,No,1,Not Graduate,No,11858,4908.1,169.8,240,1.0,Urban,Y
LP100037,Male,Yes,3+,Not Graduate,Yes,4809,755.33,273.7,240,1.0,Urban,Y
LP100038,Male,No,3+,Graduate,Yes,18429,6178.67,239.0,180,1.0,Urban,Y
LP100039,Male,Yes,2,Graduate,Yes,4740,6658.58,136.3,300,0.0,Semiurban,N
LP100040,Male,Yes,3+,Not Graduate,Yes,8165,3786.74,200.2,360,1.0,Urban,Y
LP100041,Male,Yes,3+,Not Graduate,No,14421,9544.23,377.5,300,1.0,Semiurban,N
LP100042,Female,Yes,2,Not Graduate,No,3436,8741.69,351.2,300,1.0,Urban,N
LP100043,Female,Yes,3+,Graduate,No,15468,7079.41,82.3,240,1.0,Semiurban,Y
LP100044,Female,No,2,Graduate,Yes,12697,7136.52,386.3,360,1.0,Rural,N
LP100045,Female,No,0,Not Graduate,Yes,13498,2524.02,73.9,120,1.0,Urban,Y
LP100046,Female,No,1,Graduate,Yes,2382,6568.15,294.3,240,1.0,Semiurban,N
LP100047,Male,Yes,1,Graduate,No,21724,1982.06,167.0,360,1.0,Rural,Y
LP100048,Female,Yes,3+,Not Graduate,Yes,8423,1440.03,314.5,180,1.0,Rural,N
LP100049,Female,Yes,3+,Not Graduate,No,22495,9994.68,167.6,240,1.0,Urban,Y
LP100050,Male,No,3+,Graduate,No,15208,6223.76,493.2,180,1.0,Semiurban,N
LP100051,Female,Yes,1,Graduate,No,6704,4309.88,189.4,240,1.0,Urban,Y
LP100052,Male,No,0,Not Graduate,No,8788,2881.65,158.9,300,1.0,Rural,Y
LP100053,Female,No,0,Graduate,Yes,4703,6039.2,175.3,360,0.0,Urban,N
LP100054,Male,Yes,1,Graduate,No,3744,495.94,453.4,180,1.0,Semiurban,N
